HGNC approved symbol;HGNC approved name;UniProt ID (human);Pfam domains;UniProt AC (mouse);UniProt ID (mouse);Function;Modification;Protein complex;Target molecule;Target entity;Product
TBL1XR1;transducin (beta)-like 1 X-linked receptor 1;TBL1R_HUMAN;LisH PF08513 6-32, Pfam-B_2526 PB002526 471-510, WD40 PF00400 160-197 224-253 256-294 298-335 339-377 381-428 432-470;Q8BHJ5;TBL1R_MOUSE;#;#;#;histone;#;#
INO80C;INO80 complex subunit C;IN80C_HUMAN;YL1_C PF08265 141-170;Q8BHA0;IN80C_MOUSE;Chromatin remodeling cofactor;#;Ino80, CHD8, MLL2/3, MLL4/WBP7;chromatin;#;#
PRKAG3;protein kinase, AMP-activated, gamma 3 non-catalytic subunit;AAKG3_HUMAN;CBS PF00571 273-333 350-406 414-479;Q8BGM7;AAKG3_MOUSE;Histone modification write cofactor;Histone phosphorylation;#;histone;#;#
TET3;tet methylcytosine dioxygenase 3;TET3_HUMAN;Pfam-B_188 PB000188 1613-1658, Pfam-B_19260 PB019260 1-109, Tet_JBP PF12851 850-1562;Q8BG87;TET3_MOUSE;DNA modification;DNA hydroxymethylation;#;DNA;mC;hmC
WDR82;WD repeat domain 82;WDR82_HUMAN;WD40 PF00400 12-49 97-135 245-267 273-304;Q8BFQ4;WDR82_MOUSE;Histone modification write cofactor;Histone methylation;COMPASS;histone;#;#
TRRAP;transformation/transcription domain-associated protein;TRRAP_HUMAN;FAT PF02259 2849-3204, PI3_PI4_kinase PF00454 3526-3783, Pfam-B_11387 PB011387 1471-1587, Pfam-B_12811 PB012811 141-238, Pfam-B_15427 PB015427 1-139, Pfam-B_3253 PB003253 1858-1890 1946-2001, Pfam-B_6491 PB006491 1589-1667, Pfam-B_6680 PB006680 2445-2544;Q80YV3;TRRAP_MOUSE;Histone modification write cofactor;Histone acetylation;SWR, PCAF, TFTC-HAT, NuA4, SAGA, NuA4-related complex, STAGA;histone;#;#
CDK3;cyclin-dependent kinase 3;CDK3_HUMAN;Pkinase PF00069 4-286;Q80YP0;CDK3_MOUSE;Histone modification write;Histone phosphorylation;#;histone;H1;#
CRB2;crumbs family member 2;CRUM2_HUMAN;EGF PF00008 112-142 150-180 227-257 324-354 362-392 811-841 1060-1090, Laminin_G_2 PF02210 465-588 900-1033, Pfam-B_3557 PB003557 1199-1283, Pfam-B_79172 PB079172 1119-1197, hEGF PF12661 305-317;Q80YA8;CRUM2_MOUSE;Histone modification read;#;#;histone;H4K20;#
KDM5B;lysine (K)-specific demethylase 5B;KDM5B_HUMAN;ARID PF01388 94-183, JmjC PF02373 486-602, JmjN PF02375 33-66, PHD PF00628 311-359 1178-1224 1486-1538, PLU-1 PF08429 756-1088, zf-C5HC2 PF02928 692-745;Q80Y84;KDM5B_MOUSE;Histone modification erase;Histone methylation;#;histone;H3K4me3;H3K4
RNF168;ring finger protein 168, E3 ubiquitin protein ligase;RN168_HUMAN;Pfam-B_30754 PB030754 528-566, zf-C3HC4_2 PF13923 16-54;Q80XJ2;RN168_MOUSE;Histone modification write;Histone ubiquitination;#;histone;H2AK13, H2AK15, H2AXK13, H2AXK15;H2AK13ub, H2AK15ub, H2AXK13ub, H2AXK15ub
VRK1;vaccinia related kinase 1;VRK1_HUMAN;Pkinase PF00069 37-325;Q80X41;VRK1_MOUSE;Histone modification write;Histone phosphorylation;#;histone;H3S10, H3T3;H3S10ph, H3T3ph
NPM2;nucleophosmin/nucleoplasmin 2;NPM2_HUMAN;TSP_1 PF00090 161-209 213-267 271-316 319-374;Q80W85;NPM2_MOUSE;Histone chaperone;#;#;histone;H2A, H2B;#
TDRKH;tudor and KH domain containing;TDRKH_HUMAN;KH_1 PF00013 54-115 126-190, Pfam-B_19308 PB019308 201-301, TUDOR PF00567 302-423;Q80VL1;TDRKH_MOUSE;RNA modification;#;#;RNA;piRNA;#
SCML4;sex comb on midleg-like 4 (Drosophila);SCML4_HUMAN;DUF3588 PF12140 92-208, SAM_1 PF00536 344-410;Q80VG1;SCML4_MOUSE;Polycomb group (PcG) protein;#;#;#;#;#
PRDM4;PR domain containing 4;PRDM4_HUMAN;Pfam-B_13260 PB013260 461-509, zf-C2H2 PF00096 730-752, zf-H2C2_2 PF13465 632-657 660-683 688-713;Q80V63;PRDM4_MOUSE;Histone modification write;Histone methylation;#;histone;H4R3;H4R3me2s
TAF1;TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa;TAF1_HUMAN;Bromodomain PF00439 1389-1472 1509-1595, DUF3591 PF12157 565-1028, Pfam-B_10720 PB010720 311-366, TBP-binding PF09247 22-87, zf-CCHC_6 PF15288 1261-1300;Q80UV9;TAF1_MOUSE;Histone modification write;Histone acetylation;CHD8, MLL2/3, MLL4/WBP7;histone;H3, H4;H3ac, H4ac
ACTR5;ARP5 actin-related protein 5 homolog (yeast);ARP5_HUMAN;Actin PF00022 30-570;Q80US4;ARP5_MOUSE;Chromatin remodeling;#;Ino80;chromatin;#;#
SETMAR;SET domain and mariner transposase fusion gene;SETMR_HUMAN;HTH_Tnp_Tc3_2 PF01498 401-466, Pre-SET PF05033 16-118, SET PF00856 137-250, Transposase_1 PF01359 488-568;Q80UJ9;SETMR_MOUSE;Histone modification write;Histone methylation;#;histone;H3K4, H3K36;H3K4me, H3K36me
SUZ12;SUZ12 polycomb repressive complex 2 subunit;SUZ12_HUMAN;VEFS-Box PF09733 544-681;Q80U70;SUZ12_MOUSE;Histone modification write cofactor, Histone modification write cofactor, Polycomb group (PcG) protein, TF;Histone methylation, Histone ubiquitination, TF repressor;PRC2;DNA;DNA motif;#
UBR5;ubiquitin protein ligase E3 component n-recognin 5;UBR5_HUMAN;E3_UbLigase_EDD PF11547 178-230, HECT PF00632 2497-2799, PABP PF00658 2376-2449, Pfam-B_10556 PB010556 1381-1499, Pfam-B_14783 PB014783 601-649, Pfam-B_18259 PB018259 22-174, Pfam-B_5733 PB005733 1011-1149, Pfam-B_664 PB000664 651-1009, Pfam-B_8293 PB008293 1591-1748, Pfam-B_8878 PB008878 1249-1379, zf-UBR PF02207 1177-1248;Q80TP3;UBR5_MOUSE;Chromatin remodeling, Histone modification write cofactor;Histone ubiquitination;#;histone;H2A, H2AX;H2Aub, H2AXub
PHF8;PHD finger protein 8;PHF8_HUMAN;JmjC PF02373 270-370, PHD PF00628 43-92, Pfam-B_22520 PB022520 499-557, Pfam-B_5629 PB005629 779-877;Q80TJ7;PHF8_MOUSE;Histone modification erase;Histone methylation;#;histone;H3K9me1, H3K9me2, H3K27me2, H4K20me1, H3K36me2, H3K36me3, H3K4me3;H3K9, H3K27, H4K20, H3K36, H3K4
KANSL1;KAT8 regulatory NSL complex subunit 1;KANL1_HUMAN;PEHE PF15275 885-1035, Pfam-B_14811 PB014811 571-639, Pfam-B_19390 PB019390 431-469, Pfam-B_2194 PB002194 135-403, Pfam-B_6892 PB006892 471-569;Q80TG1;KANL1_MOUSE;Histone modification write cofactor, Histone modification write cofactor;Histone methylation, Histone acetylation;NSL, CHD8, MLL2/3, MLL4/WBP7;histone;H4;H4ac
IKBKAP;inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein;ELP1_HUMAN;IKI3 PF04762 1-954, Pfam-B_8846 PB008846 1048-1212;Q7TT37;ELP1_MOUSE;Scaffold protein;#;Pol2 elongator;#;RNA;#
ATF7IP;activating transcription factor 7 interacting protein;MCAF1_HUMAN;Pfam-B_2570 PB002570 450-518;Q7TT18;MCAF1_MOUSE;Histone modification write cofactor;Histone methylation;#;histone;#;#
ZNF516;zinc finger protein 516;ZN516_HUMAN;zf-C2H2 PF00096 248-270 276-298 1098-1120, zf-C2H2_4 PF13894 174-197, zf-H2C2_2 PF13465 48-73;Q7TSH3;ZN516_MOUSE;Histone modification erase cofactor, TF;Histone acetylation, TF repressor;LSD-CoREST;histone, DNA;#;#
EXOSC3;exosome component 3;EXOS3_HUMAN;Pfam-B_7181 PB007181 221-267;Q7TQK4;EXOS3_MOUSE;Scaffold protein, RNA modification;RNA degradation;RNA exosome;RNA;#;#
MYBBP1A;MYB binding protein (P160) 1a;MBB1A_HUMAN;DNA_pol_phi PF04931 70-836;Q7TPV4;MBB1A_MOUSE;Chromatin remodeling cofactor;#;B-WICH;chromatin;#;#
DZIP3;DAZ interacting zinc finger protein 3;DZIP3_HUMAN;Pfam-B_10362 PB010362 531-619, Pfam-B_5525 PB005525 201-419, Pfam-B_5636 PB005636 1-199, Pfam-B_8501 PB008501 621-773, Pfam-B_8729 PB008729 421-529, zf-RING_2 PF13639 1146-1188;Q7TPV2;DZIP3_MOUSE;Histone modification write;Histone ubiquitination;#;histone, RNA;H2AK119;H2AK119ub
SHPRH;SNF2 histone linker PHD RING helicase, E3 ubiquitin protein ligase;SHPRH_HUMAN;Helicase_C PF00271 1545-1622, Linker_histone PF00538 438-512, Pfam-B_11163 PB011163 1-248, SNF2_N PF00176 307-987, zf-C3HC4_2 PF13923 1432-1478;Q7TPQ3;SHPRH_MOUSE;Histone modification write cofactor;Histone ubiquitination;#;histone;#;#
PRR14;proline rich 14;PRR14_HUMAN;Tantalus PF15386 457-517;Q7TPN9;PRR14_MOUSE;Histone modification write;Histone phosphorylation;#;histone;H3K9me2, H3K9me3;#
DEK;DEK proto-oncogene;DEK_HUMAN;DEK_C PF08766 321-375, Pfam-B_10960 PB010960 191-269, SAP PF02037 149-183;Q7TNV0;DEK_MOUSE;Chromatin remodeling;#;B-WICH;histone;H4;#
HUWE1;HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase;HUWE1_HUMAN;DUF4414 PF14377 2968-3079, DUF908 PF06012 89-370, DUF913 PF06025 429-815, HECT PF00632 4067-4374, Pfam-B_13571 PB013571 3944-3965, Pfam-B_15798 PB015798 3091-3191, Pfam-B_20712 PB020712 2429-2459, Pfam-B_6870 PB006870 3966-4021, UBA PF00627 1317-1352, WWE PF02825 1611-1679;Q7TMY8;HUWE1_MOUSE;Histone modification write;Histone ubiquitination;#;histone;H3K9;#
SYNCRIP;synaptotagmin binding, cytoplasmic RNA interacting protein;HNRPQ_HUMAN;RRM_1 PF00076 164-232 245-312 340-402;Q7TMK9;HNRPQ_MOUSE;RNA modification;mRNA editing;APOB_mRNA_editosome;RNA;mRNA;#
UHRF2;ubiquitin-like with PHD and ring finger domains 2, E3 ubiquitin protein ligase;UHRF2_HUMAN;DUF3590 PF12148 177-261, PHD PF00628 346-395, SAD_SRA PF02182 444-616, ubiquitin PF00240 6-76;Q7TMI3;UHRF2_MOUSE;Histone modification read;#;#;histone, DNA;H3K9me3, mCG;#
USP17L2;ubiquitin specific peptidase 17-like family member 2;U17L2_HUMAN;HABP4_PAI-RBP1 PF04774 374-458, Pfam-B_24444 PB024444 1-39, UCH PF00443 79-372;Q7M764;U17PE_MOUSE;Histone modification erase cofactor;Histone ubiquitination;#;histone;#;#
BRD2;bromodomain containing 2;BRD2_HUMAN;Bromodomain PF00439 84-168 353-441, Pfam-B_12618 PB012618 624-776, Pfam-B_14336 PB014336 541-613;Q7JJ13;BRD2_MOUSE;Histone modification read;#;#;histone;H3K9me2, H3K14me2, H4K5ac, H4K12ac;#
NAP1L4;nucleosome assembly protein 1-like 4;NP1L4_HUMAN;NAP PF00956 64-339;Q78ZA7;NP1L4_MOUSE;Histone modification cofactor;#;#;histone;H3, H4;#
SPOP;speckle-type POZ protein;SPOP_HUMAN;BTB PF00651 190-297, MATH PF00917 38-163;Q6ZWS8;SPOP_MOUSE;Histone modification write;Histone ubiquitination;#;histone;MacroH2A1;MacroH2A1ub
JADE2;jade family PHD finger 2;JADE2_HUMAN;EPL1 PF10513 39-177, PHD_2 PF13831 213-247, Pfam-B_23296 PB023296 631-669, zf-HC5HC2H_2 PF13832 252-364;Q6ZQF7;JADE2_MOUSE;Histone modification write;Histone acetylation;HBO1;histone;H3, H4;H3ac, H4ac
KDM1A;lysine (K)-specific demethylase 1A;KDM1A_HUMAN;Amino_oxidase PF01593 288-826, SWIRM PF04433 174-264;Q6ZQ88;KDM1A_MOUSE;Histone modification erase;Histone methylation;NuRD, BHC, SCL;histone;H3K4me1, H3K4me2, H3K9me;H3K4, H3K9
KDM3B;lysine (K)-specific demethylase 3B;KDM3B_HUMAN;JmjC PF02373 1594-1704, Pfam-B_16202 PB016202 1548-1593, Pfam-B_16670 PB016670 1497-1546, Pfam-B_19299 PB019299 351-469, Pfam-B_22020 PB022020 711-779, Pfam-B_3525 PB003525 571-639, Pfam-B_38652 PB038652 1-39, Pfam-B_6147 PB006147 471-569, Pfam-B_7111 PB007111 781-839;Q6ZPY7;KDM3B_MOUSE;Histone modification erase;Histone methylation;#;histone;H3K9me1, H3K9me2;H3K9
INO80;INO80 complex subunit;INO80_HUMAN;DBINO PF13892 270-410, Helicase_C PF00271 1135-1214, Pfam-B_16799 PB016799 1435-1475, SNF2_N PF00176 521-822;Q6ZPV2;INO80_MOUSE;Chromatin remodeling;#;Ino80;DNA;#;#
PHF21A;PHD finger protein 21A;PF21A_HUMAN;AT_hook PF02178 425-436, PHD PF00628 490-535, Pfam-B_15568 PB015568 536-649, Pfam-B_7050 PB007050 1-349;Q6ZPK0;PF21A_MOUSE;Histone modification erase cofactor;Histone methylation;BHC, LSD-CoREST;histone;#;#
JADE1;jade family PHD finger 1;JADE1_HUMAN;EPL1 PF10513 29-181, PHD_2 PF13831 217-251, zf-HC5HC2H_2 PF13832 256-368;Q6ZPI0;JADE1_MOUSE;Histone modification write;Histone acetylation;HBO1;histone;H3, H4;H3ac, H4ac
EID2;EP300 interacting inhibitor of differentiation 2;EID2_HUMAN;Pfam-B_42536 PB042536 111-199, Pfam-B_7728 PB007728 1-109 201-234;Q6X7S9;EID2_MOUSE;Histone modification write cofactor;Histone acetylation;#;histone;#;#
UBR2;ubiquitin protein ligase E3 component n-recognin 2;UBR2_HUMAN;ClpS PF02617 221-302, Pfam-B_10464 PB010464 668-730, Pfam-B_14814 PB014814 1413-1491, Pfam-B_15951 PB015951 1298-1365, Pfam-B_2665 PB002665 1020-1065, zf-UBR PF02207 97-167;Q6WKZ8;UBR2_MOUSE;Histone modification write;Histone ubiquitination;#;histone;H2A;#
DND1;DND microRNA-mediated repression inhibitor 1;DND1_HUMAN;DND1_DSRM PF14709 253-333, RRM_1 PF00076 60-126;Q6VY05;DND1_MOUSE;RNA modification;#;#;RNA;#;#
SUV420H2;suppressor of variegation 4-20 homolog 2 (Drosophila);SV422_HUMAN;Pfam-B_18005 PB018005 261-379, Pfam-B_59617 PB059617 1-39, Pfam-B_6511 PB006511 381-460, SET PF00856 121-218;Q6Q783;SV422_MOUSE;Histone modification write;Histone methylation;#;histone;H4K20;H4K20me3
NFRKB;nuclear factor related to kappaB binding protein;NFRKB_HUMAN;NFRKB_winged PF14465 379-478, Pfam-B_18306 PB018306 610-661;Q6PIJ4;NFRKB_MOUSE;Chromatin remodeling cofactor, TF;#;Ino80;DNA;DNA motif;#
SMARCA1;SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1;SMCA1_HUMAN;DBINO PF13892 42-119, HAND PF09110 758-856, Helicase_C PF00271 520-612, SLIDE PF09111 912-1028, SNF2_N PF00176 186-466;Q6PGB8;SMCA1_MOUSE;Chromatin remodeling, Histone modification erase;Histone acetylation;NuRF, CERF, CERF;chromatin;#;#
RCOR3;REST corepressor 3;RCOR3_HUMAN;ELM2 PF01448 1-54, Myb_DNA-binding PF00249 288-332;Q6PGA0;RCOR3_MOUSE;Histone modification erase cofactor;Histone acetylation;LSD-CoREST;histone;#;#
HJURP;Holliday junction recognition protein;HJURP_HUMAN;HJURP_C PF12347 409-471 554-614, HJURP_mid PF12346 271-386, Pfam-B_631 PB000631 682-746, Scm3 PF10384 16-77;Q6PG16;HJURP_MOUSE;Histone chaperone;#;#;histone;H4;#
RAD54B;RAD54 homolog B (S. cerevisiae);RA54B_HUMAN;Helicase_C PF00271 678-758, Pfam-B_10171 PB010171 772-829, SNF2_N PF00176 299-598;Q6PFE3;RA54B_MOUSE;Chromatin remodeling;#;#;chromatin;#;#
CHD4;chromodomain helicase DNA binding protein 4;CHD4_HUMAN;CHDCT2 PF08074 1724-1896, CHDNT PF08073 163-217, Chromo PF00385 531-577 622-674, DUF1086 PF06461 1366-1523, DUF1087 PF06465 1289-1353, Helicase_C PF00271 1084-1164, PHD PF00628 372-417 451-496, SNF2_N PF00176 729-1025;Q6PDQ2;CHD4_MOUSE;Chromatin remodeling;#;NuRD;DNA;#;#
SRSF1;serine/arginine-rich splicing factor 1;SRSF1_HUMAN;Pfam-B_5206 PB005206 192-246, RRM_1 PF00076 18-85 123-186;Q6PDM2;SRSF1_MOUSE;RNA modification;#;#;RNA;#;#
MSL1;male-specific lethal 1 homolog (Drosophila);MSL1_HUMAN;PEHE PF15275 473-591, Pfam-B_41610 PB041610 41-129, Pfam-B_70275 PB070275 1-39;Q6PDM1;MSL1_MOUSE;Histone modification write;Histone ubiquitination;#;histone;H2BK34;H2BK34ub
KMT2D;lysine (K)-specific methyltransferase 2D;KMT2D_HUMAN;FYRC PF05965 5236-5323, FYRN PF05964 5180-5234, PHD PF00628 275-323 1379-1429 1429-1477, Pfam-B_26489 PB026489 5016-5050, Pfam-B_29065 PB029065 423-678, Pfam-B_2976 PB002976 1682-1717, Pfam-B_33020 PB033020 3681-3767, SET PF00856 5408-5513, zf-HC5HC2H PF13771 139-218 5059-5137;Q6PDK2;KMT2D_MOUSE;Histone modification write;Histone methylation;COMPASS-like MLL1,2, MLL4/WBP7, COMPASS-like MLL3,4;histone;H3K4;H3K4me
SMARCC2;SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2;SMRC2_HUMAN;Myb_DNA-binding PF00249 598-643, Pfam-B_1849 PB001849 1-168, SWIRM PF04433 424-512;Q6PDG5;SMRC2_MOUSE;Chromatin remodeling cofactor;#;BAF, nBAF, npBAF, PBAF, SWI/SNF_Brg1(I), SWI/SNF_Brg1(II), SWI/SNF_Brm, SWI/SNF-like_EPAFa, WINAC, SWI/SNF-like EPAFB, bBAF, SWI/SNF BRM-BRG1;chromatin;#;#
HLTF;helicase-like transcription factor;HLTF_HUMAN;HIRAN PF08797 60-155, Helicase_C PF00271 870-950, SNF2_N PF00176 243-722, zf-RING_2 PF13639 758-801;Q6PCN7;HLTF_MOUSE;Chromatin remodeling cofactor;#;#;chromatin;#;#
KDM3A;lysine (K)-specific demethylase 3A;KDM3A_HUMAN;JmjC PF02373 1151-1264, Pfam-B_14772 PB014772 851-889, Pfam-B_17027 PB017027 351-439, Pfam-B_6147 PB006147 441-539, Pfam-B_7111 PB007111 781-849;Q6PCM1;KDM3A_MOUSE;Histone modification erase;Histone methylation;#;histone;H3K9me1, H3K9me2;H3K9
PRKAB2;protein kinase, AMP-activated, beta 2 non-catalytic subunit;AAKB2_HUMAN;AMPKBI PF04739 155-272;Q6PAM0;AAKB2_MOUSE;Histone modification write cofactor;Histone phosphorylation;#;histone;#;#
PRMT8;protein arginine methyltransferase 8;ANM8_HUMAN;PrmA PF06325 102-200;Q6PAK3;ANM8_MOUSE;Histone modification write;Histone methylation;#;histone;H4R;H4Rme
SMARCD3;SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3;SMRD3_HUMAN;Pfam-B_18257 PB018257 7-73, Pfam-B_3130 PB003130 346-441, SWIB PF02201 259-334;Q6P9Z1;SMRD3_MOUSE;Chromatin remodeling cofactor;#;BAF, nBAF, npBAF, PBAF, SWI/SNF_Brg1(I), SWI/SNF_Brm, SWI/SNF BRM-BRG1;chromatin;#;#
USP49;ubiquitin specific peptidase 49;UBP49_HUMAN;UCH PF00443 252-654, zf-UBP PF02148 20-88;Q6P9L4;UBP49_MOUSE;Histone modification erase;Histone ubiquitination;#;histone;H2Bub;H2B
MBTD1;mbt domain containing 1;MBTD1_HUMAN;MBT PF02820 183-253 289-360 388-464 496-568, Pfam-B_45320 PB045320 1-59;Q6P5G3;MBTD1_MOUSE;Polycomb group (PcG) protein;#;#;histone;H4K20me1, H4K20me2;#
HDAC10;histone deacetylase 10;HDA10_HUMAN;Hist_deacetyl PF00850 13-322;Q6P3E7;HDA10_MOUSE;Histone modification erase;Histone acetylation;#;histone;H2AKac, H2BKac, H3Kac, H4Kac;H2AK, H2BK, H3K, H4K
WHSC1L1;Wolf-Hirschhorn syndrome candidate 1-like 1;NSD3_HUMAN;PWWP PF00855 268-378 958-1047, Pfam-B_7848 PB007848 619-671, SET PF00856 1156-1262;Q6P2L6;NSD3_MOUSE;Chromatin remodeling cofactor, TF;#;#;histone;H3K4, H3K27;#
SMEK1;SMEK homolog 1, suppressor of mek1 (Dictyostelium);P4R3A_HUMAN;Pfam-B_1700 PB001700 381-501, Pfam-B_334 PB000334 506-611, SMK-1 PF04802 164-357;Q6P2K6;P4R3A_MOUSE;Histone modification erase cofactor;Histone phosphorylation;PPP4C-PPP4R2-PPP4R3A;histone;H2AFX;#
KDM2B;lysine (K)-specific demethylase 2B;KDM2B_HUMAN;Cupin_8 PF13621 23-335, F-box PF00646 1050-1107, Pfam-B_23456 PB023456 441-519, Pfam-B_33113 PB033113 1235-1289, zf-CXXC PF02008 605-651;Q6P1G2;KDM2B_MOUSE;Histone modification erase;Histone methylation;BCOR;histone;H3K4me3, H3K36me2;H3K4, H3K36
PAXIP1;PAX interacting (with transcription-activation domain) protein 1;PAXI1_HUMAN;BRCT PF00533 601-681 701-776 867-934, PTCB-BRCT PF12738 102-165, Pfam-B_13490 PB013490 1009-1064, Pfam-B_16838 PB016838 485-548;Q6NZQ4;PAXI1_MOUSE;Histone modification write cofactor;Histone methylation;CHD8, MLL2/3, MLL4/WBP7, COMPASS-like MLL3,4;histone;H3K4;H3K4me3
ZRANB3;zinc finger, RAN-binding domain containing 3;ZRAB3_HUMAN;HNH PF01844 1009-1051, Helicase_C PF00271 357-435, Pfam-B_14328 PB014328 729-854, SNF2_N PF00176 40-326, zf-RanBP PF00641 621-650;Q6NZP1;ZRAB3_MOUSE;Chromatin remodeling, Histone modification read cofactor;Histone methylation;#;histone;#;#
HDAC4;histone deacetylase 4;HDAC4_HUMAN;Arb2 PF09757 1000-1059, HDAC4_Gln PF12203 61-152, Hist_deacetyl PF00850 664-993;Q6NZM9;HDAC4_MOUSE;Histone modification erase;Histone acetylation;#;histone;H2AKac, H2BKac, H3Kac, H4Kac;H2AK, H2BK, H3K, H4K
TONSL;tonsoku-like, DNA repair protein;TONSL_HUMAN;Ank PF00023 528-560 561-591 597-629, LRR_6 PF13516 1097-1121, Pfam-B_27656 PB027656 642-670, Pfam-B_51992 PB051992 204-263, TPR_11 PF13414 350-422;Q6NZL6;TONSL_MOUSE;Chromatin remodeling;#;#;histone;#;#
PRMT6;protein arginine methyltransferase 6;ANM6_HUMAN;Methyltransf_18 PF12847 82-189;Q6NZB1;ANM6_MOUSE;Histone modification write;Histone methylation;#;histone;H2AR3, H3R2, H4R4;H2AR3me, H4R3me, H3R2me2a
TAF9B;TAF9B RNA polymerase II, TATA box binding protein (TBP)-associated factor, 31kDa;TAF9B_HUMAN;TFIID-31kDa PF02291 2-130;Q6NZA9;TAF9B_MOUSE;Histone chaperone;#;TFTC-HAT;histone;#;#
ZNF532;zinc finger protein 532;ZN532_HUMAN;Pfam-B_17557 PB017557 601-719, Pfam-B_19362 PB019362 831-959, zf-C2H2 PF00096 1265-1286;Q6NXK2;ZN532_MOUSE;Histone modification erase cofactor;Histone acetylation;#;histone;#;#
NIPBL;Nipped-B homolog (Drosophila);NIPBL_HUMAN;Cohesin_HEAT PF12765 1794-1835, Nipped-B_C PF12830 2274-2457, Pfam-B_338 PB000338 1292-1355, Pfam-B_4450 PB004450 1859-2018, Pfam-B_5032 PB005032 2020-2194;Q6KCD5;NIPBL_MOUSE;Histone modification erase cofactor;Histone acetylation;#;#;#;#
ZZZ3;zinc finger, ZZ-type containing 3;ZZZ3_HUMAN;Myb_DNA-binding PF00249 652-703, Pfam-B_19065 PB019065 361-439, Pfam-B_22505 PB022505 211-359, ZZ PF00569 817-865;Q6KAQ7;ZZZ3_MOUSE;Histone modification read;#;ATAC;histone;#;#
ZCWPW1;zinc finger, CW type with PWWP domain 1;ZCPW1_HUMAN;PWWP PF00855 315-411, Pfam-B_36867 PB036867 512-557, zf-CW PF07496 254-303;Q6IR42;ZCPW1_MOUSE;Histone modification read;#;#;histone;H3K4me;#
JADE3;jade family PHD finger 3;JADE3_HUMAN;EPL1 PF10513 30-178, PHD PF00628 202-249, zf-HC5HC2H_2 PF13832 253-365;Q6IE82;JADE3_MOUSE;Histone modification write;Histone acetylation;HBO1;histone;H3, H4;H3ac, H4ac
MUM1;melanoma associated antigen (mutated) 1;MUM1_HUMAN;Pfam-B_7774 PB007774 1-232;Q6DID5;MUM1_MOUSE;Histone modification read;#;#;histone;H3K36me, K3K79me, H4K20me;#
SMARCA2;SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2;SMCA2_HUMAN;BRK PF07533 588-633, Bromodomain PF00439 1411-1493, HSA PF07529 436-508, Helicase_C PF00271 1084-1164, Pfam-B_17897 PB017897 1369-1398, Pfam-B_2366 PB002366 333-414, QLQ PF08880 172-208, SNF2_N PF00176 727-1022, SnAC PF14619 1257-1326;Q6DIC0;SMCA2_MOUSE;Histone modification read, TF;TF activator;BAF, nBAF, npBAF, WINAC, bBAF, SWI/SNF BRM-BRG1;histone, DNA;H3, DNA motif;#
USP7;ubiquitin specific peptidase 7 (herpes virus-associated);UBP7_HUMAN;MATH PF00917 56-197, Pfam-B_12182 PB012182 591-618, Pfam-B_45828 PB045828 1-39, UCH PF00443 213-518, USP7_C2 PF14533 874-1088, USP7_ICP0_bdg PF12436 619-865;Q6A4J8;UBP7_MOUSE;Histone modification erase, DNA modification cofactor;Histone ubiquitination, DNA methylation;BCOR;histone, DNA;H2Bub;H2B
JMJD1C;jumonji domain containing 1C;JHD2C_HUMAN;JmjC PF02373 2381-2481, Pfam-B_14856 PB014856 2090-2122, Pfam-B_15350 PB015350 2148-2224, Pfam-B_16501 PB016501 1889-1927, Pfam-B_17329 PB017329 541-947, Pfam-B_19453 PB019453 1929-2023, Pfam-B_2770 PB002770 220-524, Pfam-B_63706 PB063706 1-119;Q69ZK6;JHD2C_MOUSE;Histone modification erase;Histone methylation;#;histone;H3K9me;H3K9
MSL2;male-specific lethal 2 homolog (Drosophila);MSL2_HUMAN;Pfam-B_16851 PB016851 461-575, Pfam-B_19348 PB019348 1-89, Pfam-B_20099 PB020099 211-459, Pfam-B_22844 PB022844 91-209;Q69ZF8;MSL2_MOUSE;Histone modification write;Histone ubiquitination;#;histone;H2BK34;H2BK34ub
MYSM1;Myb-like, SWIRM and MPN domains 1;MYSM1_HUMAN;JAB PF01398 572-682, Myb_DNA-binding PF00249 118-163, Pfam-B_30622 PB030622 691-736, SWIRM PF04433 372-461;Q69Z66;MYSM1_MOUSE;Histone modification erase;Histone ubiquitination;#;histone;H2Aub;H2A
INO80D;INO80 complex subunit D;IN80D_HUMAN;Pfam-B_14282 PB014282 588-622, zf-C3Hc3H PF13891 16-80 446-512;Q66JY2;IN80D_MOUSE;Chromatin remodeling cofactor;#;Ino80;chromatin;#;#
TOP2B;topoisomerase (DNA) II beta 180kDa;TOP2B_HUMAN;DNA_gyraseB PF00204 287-450, DNA_topoisoIV PF00521 734-1190, DTHCT PF08070 1508-1611, HATPase_c PF02518 98-245, Toprim PF01751 477-593;Q64511;TOP2B_MOUSE;Chromatin remodeling;#;WINAC;chromatin;#;#
ACTR3B;ARP3 actin-related protein 3 homolog B (yeast);ARP3B_HUMAN;Actin PF00022 3-412;Q641P0;ARP3B_MOUSE;Chromatin remodeling;#;#;histone;H2A, H3, H4;#
